"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","1528-4698-ND","4698","STEMMA QT AS7341 COLOR SENSOR","","1","0","15.95000","15.95"
"2","1","1528-4528-ND","4528","4-PIN STEMMA/GROVE - QT/QWIIC 4""","","1","0","1.95000","1.95"
"3","1","2648-SC0918CT-ND","SC0918","RASPBERRY PI PICO W","","1","0","6.00000","6.00"
"4","1","380-1431-ND","SC-2AMK003F","CBL USB2.0 A PLUG-MCR B PLUG 3'","","1","0","2.58000","2.58"
"5","2","10129378-920001BLF-ND","10129378-920001BLF","CONN HEADER VERT 20POS 2.54MM","","2","0","0.43000","0.86"
"6","1","3614-MAKER-PI-PICO-NB-ND","MAKER-PI-PICO-NB","MAKER PI PICO BASE (WITHOUT PICO","","1","0","8.40000","8.40"
"7","1","1470-2768-ND","VEL05US050-US-BB","AC/DC WALL MOUNT ADAPTER 5V 5W","","1","0","5.00000","5.00"
"8","1","2328-14UL1007SLDBRO25-ND","14UL1007SLDBRO25","HOOK-UP SOLID 14AWG 300V BRN 25'","","1","0","15.02000","15.02"
