wavelength (nm),intensity ((uW/cm^2)/nm)
436.668,0.025394001
436.953,0.023699958
437.237,0.025200199
437.522,0.021558537
437.807,0.026285511
438.091,0.021573831
438.376,0.021655106
438.661,0.021126
438.945,0.021012495
439.230,0.024544873
439.515,0.024246022
439.799,0.021613816
440.084,0.02157158
440.368,0.016959821
440.653,0.021316639
440.937,0.020469846
441.222,0.023131006
441.506,0.018683252
441.790,0.022323316
442.075,0.023772086
442.359,0.025034442
442.644,0.024494797
442.928,0.022172336
443.212,0.021320063
443.497,0.027754782
443.781,0.028800892
444.065,0.028982819
444.349,0.025306977
444.633,0.025278404
444.918,0.021153139
445.202,0.020570512
445.486,0.015646343
445.770,0.017467838
446.054,0.01639156
446.338,0.018365488
446.622,0.018986595
446.906,0.018812586
447.190,0.01370266
447.474,0.014073661
447.758,0.013446787
448.042,0.01585159
448.326,0.018579766
448.610,0.022092834
448.894,0.023143512
449.178,0.027239397
449.461,0.02466881
449.745,0.026909105
450.029,0.023691477
450.313,0.022789683
450.596,0.020795851
450.880,0.021599039
451.164,0.01718053
451.448,0.020242482
451.731,0.017279866
452.015,0.015521286
452.298,0.012857247
452.582,0.011796026
452.866,0.012404878
453.149,0.015040422
453.433,0.015653495
453.716,0.017128889
454.000,0.016239715
454.283,0.018048083
454.566,0.01756479
454.850,0.019784683
455.133,0.019938301
455.417,0.020865587
455.700,0.023914689
455.983,0.027289677
456.267,0.027658328
456.550,0.025085225
456.833,0.025331473
457.116,0.023934909
457.400,0.024274514
457.683,0.026578402
457.966,0.02663595
458.249,0.026459048
458.532,0.027320177
458.815,0.028008686
459.098,0.031522882
459.381,0.031084735
459.664,0.030626339
459.947,0.031738865
460.230,0.032263056
460.513,0.031259686
460.796,0.032564726
461.079,0.035461589
461.362,0.033663497
461.645,0.035646999
461.928,0.038071705
462.211,0.038479807
462.494,0.038811075
462.776,0.038753703
463.059,0.036886675
463.342,0.038522178
463.625,0.038722604
463.907,0.039054082
464.190,0.040813417
464.473,0.042222787
464.755,0.039423151
465.038,0.044515824
465.320,0.04346101
465.603,0.044945435
465.886,0.047466295
466.168,0.049773091
466.451,0.051857705
466.733,0.054195685
467.015,0.055835525
467.298,0.056635775
467.580,0.061071716
467.863,0.061937173
468.145,0.063042969
468.427,0.066957563
468.710,0.066356675
468.992,0.072008684
469.274,0.073891022
469.557,0.075219933
469.839,0.075753725
470.121,0.077169991
470.403,0.08064467
470.685,0.083957857
470.967,0.088773464
471.250,0.090272562
471.532,0.092523696
471.814,0.095767513
472.096,0.097403398
472.378,0.100405846
472.660,0.102016516
472.942,0.104811181
473.224,0.107933851
473.506,0.113857228
473.788,0.117956924
474.070,0.123198019
474.351,0.127079804
474.633,0.132113779
474.915,0.135830332
475.197,0.14233922
475.479,0.147646889
475.760,0.155424439
476.042,0.162672341
476.324,0.168230329
476.606,0.172472627
476.887,0.176875077
477.169,0.181308582
477.451,0.188981427
477.732,0.195959237
478.014,0.202609024
478.295,0.209062417
478.577,0.218283519
478.858,0.225210965
479.140,0.234502147
479.421,0.239624704
479.703,0.245983321
479.984,0.255136345
480.265,0.265062316
480.547,0.275179896
480.828,0.285747205
481.110,0.292388404
481.391,0.300353122
481.672,0.309010487
481.953,0.318158574
482.235,0.328279013
482.516,0.339835126
482.797,0.347388241
483.078,0.363561627
483.359,0.3759205
483.640,0.387415953
483.922,0.401161029
484.203,0.416342224
484.484,0.429279774
484.765,0.446857161
485.046,0.459337923
485.327,0.474702543
485.608,0.490177696
485.889,0.505732842
486.170,0.523851367
486.450,0.545096973
486.731,0.560410568
487.012,0.576926368
487.293,0.598524855
487.574,0.616372846
487.855,0.63853528
488.135,0.659477687
488.416,0.678806887
488.697,0.703434311
488.977,0.72716349
489.258,0.751272423
489.539,0.776596068
489.819,0.800346992
490.100,0.824359992
490.381,0.849314671
490.661,0.878459601
490.942,0.901362177
491.222,0.931827937
491.503,0.958054187
491.783,0.988088992
492.064,1.021405303
492.344,1.05263861
492.624,1.087184675
492.905,1.12079749
493.185,1.158169084
493.465,1.196230083
493.746,1.232791535
494.026,1.270069634
494.306,1.307103562
494.586,1.34926753
494.867,1.388203697
495.147,1.43179515
495.427,1.477481045
495.707,1.518028395
495.987,1.56916681
496.267,1.616280032
496.547,1.664452152
496.827,1.712578377
497.107,1.763200535
497.387,1.81385142
497.667,1.87008992
497.947,1.927054892
498.227,1.98346309
498.507,2.044850435
498.787,2.104011815
499.067,2.160833803
499.347,2.223769746
499.627,2.279740452
499.906,2.341659916
500.186,2.409084361
500.466,2.4769593
500.746,2.543876344
501.025,2.615715574
501.305,2.684043575
501.585,2.753711183
501.864,2.82605645
502.144,2.89287072
502.423,2.968855682
502.703,3.044841367
502.983,3.117690317
503.262,3.198561533
503.542,3.27695776
503.821,3.361464925
504.100,3.443501842
504.380,3.523477334
504.659,3.60341948
504.939,3.686159111
505.218,3.769515482
505.497,3.854294189
505.777,3.940435005
506.056,4.023361009
506.335,4.106545675
506.614,4.193112618
506.894,4.277875629
507.173,4.37059937
507.452,4.460085069
507.731,4.554483187
508.010,4.649570584
508.289,4.731223504
508.568,4.811459641
508.847,4.892727697
509.126,4.978606842
509.405,5.070155991
509.684,5.160840159
509.963,5.247799156
510.242,5.33147138
510.521,5.413258083
510.800,5.491153523
511.079,5.570481191
511.358,5.650012096
511.637,5.728964107
511.915,5.811311798
512.194,5.888346369
512.473,5.965982321
512.752,6.040908398
513.030,6.112474318
513.309,6.172614752
513.588,6.229154718
513.866,6.280397281
514.145,6.3326685
514.423,6.395029839
514.702,6.449607783
514.980,6.506059528
515.259,6.554773448
515.537,6.601326298
515.816,6.646079897
516.094,6.690726872
516.373,6.717772622
516.651,6.746414563
516.929,6.769827092
517.208,6.791737567
517.486,6.812784456
517.764,6.831376079
518.043,6.847608349
518.321,6.865773607
518.599,6.874360916
518.877,6.885947563
519.155,6.89107382
519.434,6.892416534
519.712,6.883864198
519.990,6.879215976
520.268,6.859100487
520.546,6.834692548
520.824,6.808980549
521.102,6.779221097
521.380,6.751686937
521.658,6.72286991
521.936,6.694294891
522.214,6.658385802
522.492,6.617523444
522.770,6.578631226
523.047,6.538005607
523.325,6.503520363
523.603,6.468092205
523.881,6.427557498
524.159,6.381636801
524.436,6.330830827
524.714,6.28288678
524.992,6.231762048
525.269,6.174462839
525.547,6.113922573
525.824,6.05533016
526.102,6.000688942
526.380,5.947676401
526.657,5.897434269
526.935,5.843601343
527.212,5.777792809
527.490,5.71225142
527.767,5.647977232
528.044,5.579609881
528.322,5.516123908
528.599,5.4541113
528.876,5.394570311
529.154,5.336329963
529.431,5.275162049
529.708,5.210300066
529.986,5.151448334
530.263,5.082014339
530.540,5.01943106
530.817,4.956738623
531.094,4.890292539
531.371,4.81804002
531.648,4.750466734
531.926,4.680341518
532.203,4.622193163
532.480,4.562986475
532.757,4.507618636
533.034,4.451025531
533.311,4.398799743
533.588,4.34216171
533.864,4.291708341
534.141,4.227048434
534.418,4.159878403
534.695,4.086778943
534.972,4.01745612
535.249,3.956334538
535.525,3.899731474
535.802,3.840288345
536.079,3.78379307
536.355,3.724448324
536.632,3.670660234
536.909,3.611278055
537.185,3.558159852
537.462,3.503001984
537.739,3.448139809
538.015,3.396999107
538.292,3.345445477
538.568,3.291073207
538.845,3.240684761
539.121,3.187189688
539.397,3.134714378
539.674,3.083895344
539.950,3.036278526
540.227,2.99028578
540.503,2.950983105
540.779,2.909044438
541.055,2.869810387
541.332,2.823425857
541.608,2.775172257
541.884,2.729005369
542.160,2.688146911
542.436,2.642380099
542.713,2.597060852
542.989,2.555679207
543.265,2.511274794
543.541,2.465500276
543.817,2.423990561
544.093,2.382824096
544.369,2.347646365
544.645,2.310781989
544.921,2.277067849
545.197,2.238036387
545.473,2.199047388
545.748,2.158116926
546.024,2.11903662
546.300,2.085501914
546.576,2.049864658
546.852,2.013605288
547.127,1.978860596
547.403,1.944326027
547.679,1.912007058
547.954,1.877925928
548.230,1.844053056
548.506,1.808153654
548.781,1.775535462
549.057,1.741556529
549.332,1.711368354
549.608,1.679637037
549.883,1.647392068
550.159,1.617559631
550.434,1.593421356
550.710,1.568401327
550.985,1.54447425
551.260,1.518539287
551.536,1.491884533
551.811,1.462289475
552.086,1.433832573
552.362,1.402019654
552.637,1.374415781
552.912,1.344217189
553.187,1.317811496
553.463,1.293511814
553.738,1.270740398
554.013,1.245861102
554.288,1.222011636
554.563,1.197804083
554.838,1.175247216
555.113,1.154942449
555.388,1.136465106
555.663,1.116893028
555.938,1.102021673
556.213,1.081252346
556.488,1.062112896
556.763,1.04583752
557.038,1.027818789
557.312,1.008844542
557.587,0.993099396
557.862,0.976185923
558.137,0.958674961
558.411,0.941796492
558.686,0.923143664
558.961,0.905667024
559.236,0.890574796
559.510,0.871610648
559.785,0.856678005
560.059,0.841603084
560.334,0.822212957
560.608,0.803276946
560.883,0.787610348
561.157,0.773274217
561.432,0.760029883
561.706,0.748117283
561.981,0.735562954
562.255,0.720653605
562.529,0.708447064
562.804,0.693239353
563.078,0.681631613
563.352,0.669495096
563.627,0.657398403
563.901,0.644875745
564.175,0.634683259
564.449,0.622746641
564.723,0.609900294
564.998,0.59796473
565.272,0.586965112
565.546,0.575488786
565.820,0.566677841
566.094,0.55660454
566.368,0.549493882
566.642,0.538969459
566.916,0.527809464
567.190,0.518099768
567.464,0.510108548
567.738,0.49940254
568.011,0.491031676
568.285,0.481001629
568.559,0.471703633
568.833,0.461791575
569.107,0.452247184
569.380,0.443940385
569.654,0.435350253
569.928,0.427197022
570.201,0.419631024
570.475,0.41212315
570.749,0.403366881
571.022,0.395116518
571.296,0.387651441
571.569,0.379068725
571.843,0.373387916
572.116,0.368343305
572.390,0.362498794
572.663,0.357242479
572.937,0.351877403
573.210,0.345254327
573.483,0.338131766
573.757,0.330362387
574.030,0.32203605
574.303,0.317212593
574.576,0.310132664
574.850,0.304445505
575.123,0.301309982
575.396,0.293837929
575.669,0.285564389
575.942,0.281188467
576.215,0.276270656
576.489,0.271530697
576.762,0.267057832
577.035,0.261431652
577.308,0.257996609
577.581,0.254119884
577.854,0.246911347
578.126,0.24436891
578.399,0.240512801
578.672,0.233226371
578.945,0.228273991
579.218,0.226672054
579.491,0.222937233
579.764,0.218957647
580.036,0.215045638
580.309,0.209172513
580.582,0.206781644
580.854,0.200493432
581.127,0.197139121
581.400,0.19540373
581.672,0.191619923
581.945,0.187019597
582.217,0.185501804
582.490,0.183401321
582.762,0.179413651
583.035,0.174736108
583.307,0.174524246
583.580,0.1715448
583.852,0.170688904
584.125,0.167224661
584.397,0.165866728
584.669,0.160001462
584.941,0.158864624
585.214,0.154054444
585.486,0.154204406
585.758,0.148635805
586.030,0.146631432
586.302,0.144995063
586.575,0.143996313
586.847,0.141039162
587.119,0.140093513
587.391,0.137771866
587.663,0.136049815
587.935,0.133965449
588.207,0.135849862
588.479,0.131805542
588.751,0.129486973
589.023,0.124871483
589.295,0.126039202
589.567,0.122888338
589.838,0.121371967
590.110,0.118316175
590.382,0.115483918
590.654,0.113973219
590.925,0.110449993
591.197,0.107666639
591.469,0.106219802
591.740,0.10279804
592.012,0.103097037
592.284,0.103809186
592.555,0.103906057
592.827,0.098477721
593.098,0.096832039
593.370,0.093670598
593.641,0.095555088
593.913,0.0947204
594.184,0.09313909
594.456,0.0916544
594.727,0.091581456
594.998,0.088449925
595.270,0.086821664
595.541,0.083790435
595.812,0.081277793
596.083,0.079429309
596.355,0.081646134
596.626,0.081491945
596.897,0.080765026
597.168,0.076100111
597.439,0.074974232
597.710,0.071826769
597.981,0.071682212
598.252,0.067051131
598.523,0.065629699
598.794,0.066499394
599.065,0.065249496
599.336,0.063783105
599.607,0.06443913
599.878,0.063217217
600.149,0.061764884
600.420,0.060144845
600.691,0.061490768
600.961,0.060523893
601.232,0.061626624
601.503,0.061476197
601.773,0.062420515
602.044,0.061396307
602.315,0.059683861
602.585,0.057937342
602.856,0.058962749
603.127,0.056481941
603.397,0.055537087
603.668,0.054274439
603.938,0.056668193
604.209,0.05599217
604.479,0.054965065
604.750,0.05335666
605.020,0.05057788
605.290,0.050825541
605.561,0.053534514
605.831,0.05294868
606.101,0.052282262
606.371,0.048032362
606.642,0.046862833
606.912,0.045254885
607.182,0.0454171
607.452,0.044045688
607.722,0.042064284
607.992,0.03879344
608.262,0.038907079
608.533,0.039497671
608.803,0.040003548
609.073,0.037158563
609.343,0.034995006
609.612,0.032784854
609.882,0.03491574
610.152,0.033953285
610.422,0.03464154
610.692,0.031414815
610.962,0.029383879
611.232,0.028456197
611.501,0.028768108
611.771,0.027661364
612.041,0.025394212
612.310,0.023541859
612.580,0.022261563
612.850,0.022736773
613.119,0.022695559
613.389,0.019928063
613.658,0.020986873
613.928,0.01754165
614.197,0.02089635
614.467,0.019419385
614.736,0.021399933
615.006,0.02061795
615.275,0.019749627
615.545,0.017766948
615.814,0.016338996
616.083,0.018634025
616.352,0.01902338
616.622,0.018490367
616.891,0.020060894
617.160,0.016789168
617.429,0.016475751
617.699,0.012635136
617.968,0.014629658
618.237,0.012510391
618.506,0.013026784
618.775,0.01468347
619.044,0.018665407
619.313,0.019651078
619.582,0.018331182
619.851,0.017382847
620.120,0.018334645
620.389,0.019111044
620.657,0.019947575
620.926,0.021771932
621.195,0.022615042
621.464,0.023781351
621.733,0.026010009
622.001,0.027204179
622.270,0.02723456
622.539,0.026258233
622.807,0.026523913
623.076,0.02479447
623.345,0.022642031
623.613,0.022280919
623.882,0.021234858
624.150,0.023127663
624.419,0.022911754
624.687,0.023919039
624.956,0.023699612
625.224,0.021620021
625.492,0.021392085
625.761,0.019029827
626.029,0.016843361
626.298,0.01533919
626.566,0.016625339
626.834,0.017915566
627.102,0.018682156
627.370,0.017362718
627.639,0.01507849
627.907,0.015598615
628.175,0.017505447
628.443,0.015856371
628.711,0.016182053
628.979,0.016299752
629.247,0.017951211
629.515,0.015466223
629.783,0.017282838
630.051,0.017550054
630.319,0.016633914
630.587,0.015513242
630.855,0.018032281
631.122,0.020652192
631.390,0.020396543
631.658,0.018555538
631.926,0.018773437
632.194,0.015248687
632.461,0.01580739
632.729,0.014947125
632.997,0.018381933
633.264,0.01625513
633.532,0.014037606
633.799,0.014745345
634.067,0.017145253
634.334,0.015484828
634.602,0.014222548
634.869,0.012511429
635.137,0.01209777
635.404,0.010327608
635.671,0.013522949
635.939,0.011641605
636.206,0.011909147
636.473,0.013870083
636.741,0.014553784
637.008,0.017058332
637.275,0.018531538
637.542,0.015903688
637.809,0.015701378
638.077,0.016485179
638.344,0.019754154
638.611,0.021420355
638.878,0.024393877
639.145,0.022446899
639.412,0.023356438
639.679,0.023050489
639.946,0.022614719
640.213,0.019947407
640.479,0.016661353
640.746,0.014539083
641.013,0.015793206
641.280,0.017619477
641.547,0.015830824
641.814,0.015886378
642.080,0.015715081
642.347,0.013168073
642.614,0.01548257
642.880,0.014018727
643.147,0.010916245
643.413,0.010487006
643.680,0.01540889
643.947,0.016741468
644.213,0.019427726
644.480,0.017936787
644.746,0.017353005
645.012,0.017242672
645.279,0.01403811
645.545,0.012476584
645.812,0.010901409
646.078,0.009176393
646.344,0.012127121
646.610,0.01389694
646.877,0.014441346
647.143,0.009237502
647.409,0.010972349
647.675,0.007317727
647.941,0.005026153
648.207,0.002432745
648.473,0.004155152
648.740,0.006364996
649.006,0.005580852
649.272,0.008664737
649.537,0.009149407
649.803,0.007690947
650.069,0.008831375
650.335,0.007111689
650.601,0.009183541
650.867,0.007546971
651.133,0.008135868
651.398,0.010629399
651.664,0.013179275
651.930,0.01252791
652.196,0.011103443
652.461,0.009120705
652.727,0.009873576
652.992,0.008532759
653.258,0.009515342
653.524,0.008381608
653.789,0.006963872
654.055,0.00747263
654.320,0.008764454
654.586,0.011374838
654.851,0.01180628
655.116,0.009745602
655.382,0.008945639
655.647,0.009696587
655.912,0.012335728
656.178,0.010229625
656.443,0.012450505
656.708,0.011057238
656.973,0.011987377
657.239,0.012595991
657.504,0.012582355
657.769,0.009603534
658.034,0.010088732
658.299,0.010619682
658.564,0.013043157
658.829,0.013542604
659.094,0.015819898
659.359,0.014312034
659.624,0.012257434
659.889,0.010255927
660.154,0.009754301
660.418,0.009094442
660.683,0.00907587
660.948,0.008590864
661.213,0.011291217
661.477,0.007178312
661.742,0.006766606
662.007,0.00291206
662.271,0.003027751
662.536,-0.000671644
662.801,-0.001557661
663.065,0.000905166
663.330,0.002381553
663.594,0.001003771
663.859,0.000652199
664.123,-0.001296181
664.388,-0.000263243
664.652,-0.002684773
664.916,-0.003699602
665.181,-0.003730379
665.445,0.000322213
665.709,-0.002434311
665.974,-0.000793525
666.238,0.001690604
666.502,0.001045732
666.766,0.001030896
667.030,0.005688562
667.294,0.004664815
667.559,0.008810253
667.823,0.006844151
668.087,0.007081203
668.351,0.009955416
668.615,0.007837219
668.879,0.005142988
669.143,0.006882754
669.406,0.006592489
669.670,0.008064848
669.934,0.008184142
670.198,0.00773768
670.462,0.005210041
670.726,0.007607433
670.989,0.003572318
671.253,0.007032893
671.517,0.009146924
671.780,0.007555517
672.044,0.011318701
672.307,0.011335031
672.571,0.014518058
672.835,0.015166231
673.098,0.011687793
673.362,0.013230275
673.625,0.012122255
673.888,0.014164803
674.152,0.013986752
674.415,0.015948716
674.679,0.013463216
674.942,0.014049813
675.205,0.014258448
675.468,0.013045375
675.732,0.012936801
675.995,0.009601401
676.258,0.01032922
676.521,0.01510357
676.784,0.012854715
677.047,0.014007165
677.310,0.012992338
677.573,0.011718946
677.836,0.011399463
678.099,0.011667185
678.362,0.009416494
678.625,0.010759376
678.888,0.006843019
679.151,0.007934276
679.414,0.008181663
679.677,0.007458207
679.939,0.003300785
680.202,0.004889941
680.465,0.005841028
680.728,0.003593445
680.990,0.002672504
681.253,0.002166992
681.516,8.22357E-05
681.778,8.46558E-05
682.041,-0.000906125
682.303,0.004816559
682.566,0.004635882
682.828,0.002827632
683.091,-0.000910545
683.353,-0.000229134
683.615,-0.002688552
683.878,-0.004700005
684.140,-0.005482503
684.402,-0.004601773
684.665,-0.00631916
684.927,-0.005588945
685.189,-0.006995599
685.451,-0.00532357
685.713,-0.008328186
685.976,-0.008461374
686.238,-0.005374513
686.500,-0.001145001
686.762,-0.002367944
687.024,-0.000186618
687.286,0.001259879
687.548,0.000996303
687.810,-0.003510063
688.072,0.001383575
688.333,0.001956749
688.595,0.003174896
688.857,0.001199584
689.119,0.002964362
689.381,0.003712199
689.642,0.002525138
689.904,0.000210555
690.166,0.005894678
690.427,0.005124168
690.689,0.005494882
690.951,0.008017504
691.212,0.011772489
691.474,0.012985851
691.735,0.014570185
691.997,0.013524041
692.258,0.01439263
692.520,0.013226004
692.781,0.011712243
693.042,0.012630074
693.304,0.014890071
693.565,0.00866264
693.826,0.010027503
694.088,0.009571003
694.349,0.00693282
694.610,0.008762174
694.871,0.007994359
695.132,0.004668449
695.393,0.003628645
695.654,0.004162998
695.915,0.003510886
696.177,0.002906472
696.438,0.001508498
696.698,0.000495762
696.959,0.001831112
697.220,0.001493603
697.481,0.002476866
697.742,0.00291537
698.003,0.002732274
698.264,0.001314258
698.524,0.004313677
698.785,0.007208454
699.046,0.01000509
699.307,0.01008279
699.567,0.011570935
699.828,0.011967662
