wavelength (nm),intensity ((uW/cm^2)/nm)
436.668,0.008109843
436.953,0.007190029
437.237,0.008055769
437.522,0.004609572
437.807,0.009195154
438.091,0.005251735
438.376,0.005759316
438.661,0.005806945
438.945,0.006480705
439.230,0.010184339
439.515,0.009147105
439.799,0.007060411
440.084,0.006254896
440.368,0.001563122
440.653,0.004983607
440.937,0.004492379
441.222,0.007629894
441.506,0.002763023
441.790,0.006093274
442.075,0.007445958
442.359,0.008497644
442.644,0.007381813
442.928,0.005363455
443.212,0.004537599
443.497,0.010848807
443.781,0.011844937
444.065,0.012255492
444.349,0.00886164
444.633,0.008088426
444.918,0.003704512
445.202,0.003320521
445.486,-0.001966681
445.770,-0.000687616
446.054,-0.001493796
446.338,0.000142813
446.622,-0.000122191
446.906,0.000184685
447.190,-0.005431846
447.474,-0.004969703
447.758,-0.00604034
448.042,-0.003628966
448.326,-0.000573854
448.610,0.002350358
448.894,0.004289488
449.178,0.008666562
449.461,0.006605205
449.745,0.008486115
450.029,0.005200081
450.313,0.004555869
450.596,0.001241415
450.880,0.002846411
451.164,-0.001936132
451.448,0.001361364
451.731,-0.001546072
452.015,-0.003475952
452.298,-0.005920028
452.582,-0.007987169
452.866,-0.007675914
453.149,-0.005454184
453.433,-0.00518923
453.716,-0.003639716
454.000,-0.004879375
454.283,-0.002872734
454.566,-0.004042009
454.850,-0.002411465
455.133,-0.002840196
455.417,-0.002232683
455.700,0.000804765
455.983,0.004038335
456.267,0.004869077
456.550,0.001821863
456.833,0.001771773
457.116,0.000161968
457.400,0.000165532
457.683,0.002547016
457.966,0.002455787
458.249,0.002349992
458.532,0.003549979
458.815,0.00380209
459.098,0.006641467
459.381,0.005804977
459.664,0.004422677
459.947,0.004261372
460.230,0.004445959
460.513,0.002939156
460.796,0.003585883
461.079,0.005768296
461.362,0.003182337
461.645,0.00451095
461.928,0.00571781
462.211,0.004676306
462.494,0.00397808
462.776,0.002860018
463.059,-1.42023E-05
463.342,0.000628001
463.625,0.000262617
463.907,-0.000658916
464.190,0.000352875
464.473,0.001099892
464.755,-0.002831834
465.038,0.001178825
465.320,-0.001014655
465.603,-0.000846902
465.886,0.000618399
466.168,0.001559108
466.451,0.002648541
466.733,0.003493262
467.015,0.003919656
467.298,0.00249818
467.580,0.005170292
467.863,0.004243741
468.145,0.003301088
468.427,0.005093853
468.710,0.002443927
468.992,0.005885821
469.274,0.005605418
469.557,0.00476405
469.839,0.003359393
470.121,0.002480296
470.403,0.003123199
470.685,0.004063256
470.967,0.006558796
471.250,0.00536261
471.532,0.004208683
471.814,0.004041295
