wavelength (nm),intensity ((uW/cm^2)/nm)
436.668,2.187386129
436.953,2.276955514
437.237,2.372737069
437.522,2.470735302
437.807,2.577222553
438.091,2.678435819
438.376,2.786833594
438.661,2.894330468
438.945,3.008624993
439.230,3.135865182
439.515,3.266947145
439.799,3.397903179
440.084,3.535020253
440.368,3.67410318
440.653,3.829926129
440.937,3.983176864
441.222,4.144159579
441.506,4.304265007
441.790,4.475764541
442.075,4.6444039
442.359,4.819961035
442.644,4.997344098
442.928,5.184742241
443.212,5.371568286
443.497,5.569334379
443.781,5.765810531
444.065,5.965292879
444.349,6.183978205
444.633,6.419034453
444.918,6.656072478
445.202,6.904665345
445.486,7.157143877
445.770,7.429524143
446.054,7.702959548
446.338,7.974451606
446.622,8.243213655
446.906,8.522507148
447.190,8.818063082
447.474,9.131816292
447.758,9.459833573
448.042,9.795225467
448.326,10.13882401
448.610,10.49770854
448.894,10.86353368
449.178,11.24204464
449.461,11.61968822
449.745,12.01337658
450.029,12.40487239
450.313,12.78957541
450.596,13.17778408
450.880,13.57668433
451.164,13.99159799
451.448,14.43703332
451.731,14.88798226
452.015,15.33823353
452.298,15.77102857
452.582,16.2168606
452.866,16.65786753
453.149,17.1176051
453.433,17.58678089
453.716,18.05782742
454.000,18.52429569
454.283,18.95426413
454.566,19.37644052
454.850,19.79538123
455.133,20.18329938
455.417,20.54982623
455.700,20.91460296
455.983,21.26527927
456.267,21.64253398
456.550,22.01457565
456.833,22.36545737
457.116,22.69024647
457.400,22.99080728
457.683,23.26939156
457.966,23.52748621
458.249,23.79123447
458.532,24.04062916
458.815,24.26479431
459.098,24.44497884
459.381,24.54868077
459.664,24.62082141
459.947,24.66363616
460.230,24.73264728
460.513,24.79967743
460.796,24.83388347
461.079,24.83854715
461.362,24.8014379
461.645,24.74894126
461.928,24.66924013
462.211,24.53976786
462.494,24.38306888
462.776,24.19789448
463.059,23.98829168
463.342,23.78240114
463.625,23.55176167
463.907,23.31404928
464.190,23.03443933
464.473,22.73405828
464.755,22.41681734
465.038,22.0931644
465.320,21.76518475
465.603,21.43036408
465.886,21.08308673
466.168,20.73054943
466.451,20.36546293
466.733,19.99776137
467.015,19.62451272
467.298,19.26131548
467.580,18.88659346
467.863,18.50603181
468.145,18.13390932
468.427,17.77007902
468.710,17.40385883
468.992,17.03900221
469.274,16.65966156
469.557,16.28132036
469.839,15.90890847
470.121,15.55246995
470.403,15.20957192
470.685,14.8776248
470.967,14.54597236
471.250,14.22250653
471.532,13.91175193
471.814,13.60435243
472.096,13.29447012
472.378,12.99724882
472.660,12.69957696
472.942,12.41968613
473.224,12.15016317
473.506,11.89323251
473.788,11.63632539
474.070,11.38959537
474.351,11.14403226
474.633,10.90778877
474.915,10.67245243
475.197,10.44033044
475.479,10.21967181
475.760,10.00232987
476.042,9.788954145
476.324,9.579267678
476.606,9.373252346
476.887,9.171938658
477.169,8.973412948
477.451,8.789063608
477.732,8.600297345
478.014,8.414225107
478.295,8.229541926
478.577,8.053877509
478.858,7.874333071
479.140,7.699182702
479.421,7.525866735
479.703,7.355338799
479.984,7.191623173
480.265,7.022674758
480.547,6.859199287
480.828,6.69572845
481.110,6.527097709
481.391,6.364879386
481.672,6.205284743
481.953,6.045933938
482.235,5.894703653
482.516,5.752760693
482.797,5.6080168
483.078,5.469073785
483.359,5.327315674
483.640,5.187773878
483.922,5.051762886
484.203,4.923850245
484.484,4.796336268
484.765,4.678145443
485.046,4.553314273
485.327,4.428409363
485.608,4.308459598
485.889,4.189592727
486.170,4.072710149
486.450,3.961094019
486.731,3.849875605
487.012,3.741282769
487.293,3.642038202
487.574,3.54293619
487.855,3.452017694
488.135,3.359107986
488.416,3.265062885
488.697,3.179584479
488.977,3.093523008
489.258,3.013183727
489.539,2.936112257
489.819,2.85934968
490.100,2.784763022
490.381,2.709984159
490.661,2.641697566
490.942,2.568138186
491.222,2.503403342
491.503,2.435419493
491.783,2.373513939
492.064,2.315153593
492.344,2.255577318
492.624,2.201288081
492.905,2.145254015
493.185,2.092528935
493.465,2.040852665
493.746,1.98955294
494.026,1.939663391
494.306,1.887493359
494.586,1.841655487
494.867,1.791340436
495.147,1.748077872
495.427,1.706209613
495.707,1.660956222
495.987,1.625756204
496.267,1.586984773
496.547,1.54784066
496.827,1.508778852
497.107,1.471858606
497.387,1.432067148
497.667,1.399505709
497.947,1.365441576
498.227,1.333004563
498.507,1.302524415
498.787,1.269348369
499.067,1.234854929
499.347,1.20590249
499.627,1.171368237
499.906,1.140916487
500.186,1.114176558
500.466,1.088631882
500.746,1.06213243
501.025,1.039221606
501.305,1.008493885
501.585,0.984543355
501.864,0.959671024
502.144,0.932642571
502.423,0.90950247
502.703,0.889293118
502.983,0.864498144
503.262,0.844700055
503.542,0.822131183
503.821,0.803311073
504.100,0.783397806
504.380,0.763663518
504.659,0.744522796
504.939,0.727690129
505.218,0.708124524
505.497,0.690808019
505.777,0.675470885
506.056,0.656875516
506.335,0.639714314
506.614,0.627162598
506.894,0.612014468
507.173,0.599294123
507.452,0.584006232
507.731,0.570468424
508.010,0.556167823
508.289,0.542053561
508.568,0.525839538
508.847,0.513155063
509.126,0.499457579
509.405,0.48738908
509.684,0.477513422
509.963,0.465289684
510.242,0.453251292
510.521,0.442473639
510.800,0.431089594
511.079,0.419801856
511.358,0.408212316
511.637,0.399591388
511.915,0.389264636
512.194,0.383518977
512.473,0.374797271
512.752,0.36730096
513.030,0.36063448
513.309,0.353305006
513.588,0.346280822
513.866,0.338463357
514.145,0.330264596
514.423,0.324552977
514.702,0.316711642
514.980,0.312651903
515.259,0.304753937
515.537,0.298862623
515.816,0.291418062
516.094,0.289300576
516.373,0.282579483
516.651,0.277215997
516.929,0.270104311
517.208,0.262521082
517.486,0.257653275
517.764,0.25273328
518.043,0.247665597
518.321,0.247078085
518.599,0.240099275
518.877,0.238116336
519.155,0.234232306
519.434,0.230745056
519.712,0.220980462
519.990,0.216326098
520.268,0.210387717
520.546,0.206526752
520.824,0.204167843
521.102,0.197717332
521.380,0.191911665
521.658,0.187112082
521.936,0.18194443
522.214,0.177213604
522.492,0.171912022
522.770,0.169024122
523.047,0.163514431
523.325,0.162244794
523.603,0.159538194
523.881,0.157939348
524.159,0.152129929
524.436,0.150083397
524.714,0.148477548
524.992,0.146689935
525.269,0.141876152
525.547,0.137230789
525.824,0.134960384
526.102,0.132602865
526.380,0.12880435
526.657,0.129663305
526.935,0.12564862
527.212,0.121526673
527.490,0.118200457
527.767,0.116924364
528.044,0.111859213
528.322,0.108434468
528.599,0.106927562
528.876,0.106854626
529.154,0.10653071
529.431,0.105327573
529.708,0.102492744
529.986,0.101307704
530.263,0.094937013
530.540,0.095286065
530.817,0.093665735
531.094,0.092873226
531.371,0.091991451
531.648,0.09366249
531.926,0.092180886
532.203,0.092951434
532.480,0.089177867
532.757,0.088190458
533.034,0.084894801
533.311,0.085847135
533.588,0.083194762
533.864,0.085153508
534.141,0.083000153
534.418,0.083965761
534.695,0.082151176
534.972,0.081375777
535.249,0.078327854
535.525,0.07916834
535.802,0.076186228
536.079,0.078431566
536.355,0.075476482
536.632,0.076743009
536.909,0.072734827
537.185,0.073757117
537.462,0.071593415
537.739,0.068529204
538.015,0.067505644
538.292,0.065679705
538.568,0.062747696
538.845,0.06425212
539.121,0.061441655
539.397,0.058850629
539.674,0.055528246
539.950,0.056777022
540.227,0.053693196
540.503,0.053681082
540.779,0.051693024
541.055,0.051952427
541.332,0.053130025
541.608,0.05090694
541.884,0.049604969
542.160,0.051721254
542.436,0.049256772
542.713,0.048915158
542.989,0.050086541
543.265,0.05180505
543.541,0.050629524
543.817,0.052926819
544.093,0.053094035
544.369,0.053206926
544.645,0.052295254
544.921,0.052452656
545.197,0.052333977
545.473,0.053371798
545.748,0.05119477
546.024,0.049955316
546.300,0.049980559
546.576,0.049105181
546.852,0.046204973
547.127,0.044704533
547.403,0.042261433
547.679,0.041296089
547.954,0.039465672
548.230,0.039243028
548.506,0.038372226
548.781,0.039277497
549.057,0.038116908
549.332,0.040302053
549.608,0.039687039
549.883,0.038774451
550.159,0.037731081
550.434,0.039602083
550.710,0.040601035
550.985,0.043005171
551.260,0.044002167
551.536,0.044421958
551.811,0.042930418
552.086,0.041604995
552.362,0.037876002
552.637,0.037759716
552.912,0.034161855
553.187,0.032546783
553.463,0.031179255
553.738,0.032780099
554.013,0.031099767
554.288,0.029840519
554.563,0.027771535
554.838,0.027788445
555.113,0.027457347
555.388,0.028481835
555.663,0.027834942
555.938,0.031725266
556.213,0.030899149
556.488,0.032426014
556.763,0.035639747
557.038,0.037641756
557.312,0.035524525
557.587,0.037353448
557.862,0.038295661
558.137,0.037947704
558.411,0.036925184
558.686,0.036042049
558.961,0.03433898
559.236,0.035181571
559.510,0.03167282
559.785,0.031980186
560.059,0.032119435
560.334,0.029458115
560.608,0.027165507
560.883,0.028297169
561.157,0.028040385
561.432,0.027041248
561.706,0.026784186
561.981,0.027549997
