utc_timestamp,onboard_temperature_K,R,G,B,atime,gain,astep,ch410,ch440,ch470,ch510,ch550,ch583,ch620,ch670
2022-11-4 06:40:04,292.7041,41,3,31,100,128,999,188,3674,2828,354,498,2748,5661,276
2022-11-4 06:51:16,294.1085,41,3,31,100,128,999,188,3675,2827,354,498,2756,5671,277
